cell_label,x,y,celltype_F,celltype_F_class,area
7931,7657,3839,Oligo,Non-neuronal,ACC
7932,19441,3838,L5 ET,Excitatory,ACC
7933,210,3840,Oligo,Non-neuronal,ACC
7934,17988,3838,Oligo,Non-neuronal,ACC
7935,1044,3841,Oligo,Non-neuronal,ACC
7936,11203,3842,Oligo,Non-neuronal,ACC
7937,11625,3840,Micro/PVM,Non-neuronal,ACC
7938,12080,3842,L6 CT,Excitatory,ACC
7939,18131,3841,Oligo,Non-neuronal,ACC
7941,22070,3842,Astro,Non-neuronal,ACC
7943,10931,3844,SST,Inhibitory,ACC
7945,6335,3845,Oligo,Non-neuronal,ACC
7946,18213,3845,Oligo,Non-neuronal,ACC
7949,23202,3846,L2/3 IT,Excitatory,ACC
7950,10901,3849,L6 IT,Excitatory,ACC
7951,18007,3849,Oligo,Non-neuronal,ACC
7952,20992,3848,Astro,Non-neuronal,ACC
7954,2171,3850,Oligo,Non-neuronal,ACC
7955,4354,3851,Oligo,Non-neuronal,ACC
7957,7879,3850,Oligo,Non-neuronal,ACC
7959,12460,3848,Astro,Non-neuronal,ACC
7960,15795,3849,L6 IT,Excitatory,ACC
7962,5133,3851,Oligo,Non-neuronal,ACC
7963,8702,3851,Oligo,Non-neuronal,ACC
7964,11572,3854,Endo,Non-neuronal,ACC
7966,7548,3853,Micro/PVM,Non-neuronal,ACC
7967,10607,3854,Oligo,Non-neuronal,ACC
7968,13098,3854,Astro,Non-neuronal,ACC
7969,13388,3853,Oligo,Non-neuronal,ACC
7970,656,3856,Oligo,Non-neuronal,ACC
7972,11474,3855,Oligo,Non-neuronal,ACC
7973,15188,3854,SST,Inhibitory,ACC
7974,18111,3856,Micro/PVM,Non-neuronal,ACC
7976,5986,3859,Oligo,Non-neuronal,ACC
7977,7498,3858,Oligo,Non-neuronal,ACC
7979,9937,3857,Oligo,Non-neuronal,ACC
7980,14875,3857,Oligo,Non-neuronal,ACC
7981,22600,3857,L2/3 IT,Excitatory,ACC
7983,1696,3858,Oligo,Non-neuronal,ACC
7985,6090,3859,Oligo,Non-neuronal,ACC
7986,157,3860,Oligo,Non-neuronal,ACC
7987,1321,3862,Oligo,Non-neuronal,ACC
7988,5604,3860,Oligo,Non-neuronal,ACC
7989,6737,3860,Oligo,Non-neuronal,ACC
7991,13671,3861,Oligo,Non-neuronal,ACC
7992,17736,3860,Astro,Non-neuronal,ACC
7993,1476,3862,Oligo,Non-neuronal,ACC
7995,5813,3863,Oligo,Non-neuronal,ACC
7996,14454,3862,L6B,Excitatory,ACC
7997,6512,3864,Oligo,Non-neuronal,ACC
7998,17222,3864,L6 CT,Excitatory,ACC
7999,20371,3864,Astro,Non-neuronal,ACC
8000,23785,3863,L4 IT,Excitatory,ACC
8001,2901,3865,Oligo,Non-neuronal,ACC
8002,13458,3866,Astro,Non-neuronal,ACC
8003,15752,3866,Oligo,Non-neuronal,ACC
8005,19827,3868,Oligo,Non-neuronal,ACC
8006,18076,3870,Oligo,Non-neuronal,ACC
8008,22812,3869,Astro,Non-neuronal,ACC
8010,19775,3871,Oligo,Non-neuronal,ACC
8022,16641,3878,L6 IT,Excitatory,ACC
8024,4323,3879,Oligo,Non-neuronal,ACC
8025,8088,3879,Oligo,Non-neuronal,ACC
8026,16570,3877,Astro,Non-neuronal,ACC
8027,18112,3881,Oligo,Non-neuronal,ACC
8028,19805,3882,Oligo,Non-neuronal,ACC
8031,2836,3885,Micro/PVM,Non-neuronal,ACC
8034,23186,3883,SST,Inhibitory,ACC
8035,23871,3884,Micro/PVM,Non-neuronal,ACC
8036,2944,3886,Oligo,Non-neuronal,ACC
8037,5005,3885,Oligo,Non-neuronal,ACC
8038,7834,3886,Oligo,Non-neuronal,ACC
8039,23365,3886,SNCG,Inhibitory,ACC
8040,389,3889,Oligo,Non-neuronal,ACC
8042,1311,3893,Oligo,Non-neuronal,ACC
8044,68,3894,Oligo,Non-neuronal,ACC
8045,3117,3895,Oligo,Non-neuronal,ACC
8046,15150,3895,Oligo,Non-neuronal,ACC
8047,18387,3894,Oligo,Non-neuronal,ACC
8048,184,3895,Oligo,Non-neuronal,ACC
8053,24061,3895,L2/3 IT,Excitatory,ACC
8054,2656,3897,Oligo,Non-neuronal,ACC
8055,14956,3897,Oligo,Non-neuronal,ACC
8056,509,3899,Oligo,Non-neuronal,ACC
8058,18058,3900,SST,Inhibitory,ACC
8060,23618,3899,L2/3 IT,Excitatory,ACC
8062,7899,3901,Oligo,Non-neuronal,ACC
8063,12269,3901,Oligo,Non-neuronal,ACC
8065,24265,3900,Astro,Non-neuronal,ACC
8066,1369,3903,Oligo,Non-neuronal,ACC
8067,5316,3902,Oligo,Non-neuronal,ACC
8068,9013,3904,Oligo,Non-neuronal,ACC
8070,18250,3908,VLMC,Non-neuronal,ACC
