cell_label,x,y,celltype_F,celltype_F_class,area
2164,20120,1893,Astro,Non-neuronal,A1C
2167,13295,1896,Oligo,Non-neuronal,A1C
2168,21569,1894,L5/6 NP,Excitatory,A1C
2172,13858,1897,Oligo,Non-neuronal,A1C
2175,22905,1898,SNCG,Inhibitory,A1C
2176,26129,1897,L6 CT,Excitatory,A1C
2177,22503,1899,SST,Inhibitory,A1C
2178,24177,1901,L6B,Excitatory,A1C
2182,26158,1902,OPC,Non-neuronal,A1C
2184,13888,1903,Micro/PVM,Non-neuronal,A1C
2185,21120,1904,Oligo,Non-neuronal,A1C
2189,12273,1907,Oligo,Non-neuronal,A1C
2190,13107,1907,Oligo,Non-neuronal,A1C
2192,15659,1909,Micro/PVM,Non-neuronal,A1C
2193,22181,1909,Oligo,Non-neuronal,A1C
2196,17922,1913,VLMC,Non-neuronal,A1C
2200,16036,1914,Astro,Non-neuronal,A1C
2201,20711,1913,Oligo,Non-neuronal,A1C
2202,20843,1913,Astro,Non-neuronal,A1C
2204,24967,1914,L6 CT,Excitatory,A1C
2206,27004,1915,OPC,Non-neuronal,A1C
2207,13647,1915,Oligo,Non-neuronal,A1C
2208,15918,1916,Oligo,Non-neuronal,A1C
2210,23671,1916,PVALB,Inhibitory,A1C
2214,15887,1915,Oligo,Non-neuronal,A1C
2215,16402,1918,Oligo,Non-neuronal,A1C
2217,19423,1918,Oligo,Non-neuronal,A1C
2218,19632,1917,L6 CT,Excitatory,A1C
2219,14258,1920,Micro/PVM,Non-neuronal,A1C
2220,24025,1919,L4 IT,Excitatory,A1C
2222,19396,1923,L6 IT,Excitatory,A1C
2223,22240,1922,SST,Inhibitory,A1C
2224,26364,1921,L6B,Excitatory,A1C
2226,13447,1923,Oligo,Non-neuronal,A1C
2230,12247,1924,Oligo,Non-neuronal,A1C
2231,12549,1926,Oligo,Non-neuronal,A1C
2232,15791,1927,Oligo,Non-neuronal,A1C
2233,23814,1927,L5 IT,Excitatory,A1C
2234,24170,1926,Oligo,Non-neuronal,A1C
2235,15298,1930,Oligo,Non-neuronal,A1C
2236,14181,1932,Oligo,Non-neuronal,A1C
2239,26287,1930,Oligo,Non-neuronal,A1C
2240,15639,1933,Oligo,Non-neuronal,A1C
2241,17990,1931,L6 IT Car3,Excitatory,A1C
2243,24905,1933,Astro,Non-neuronal,A1C
2244,25757,1932,Oligo,Non-neuronal,A1C
2245,15043,1933,L6 CT,Excitatory,A1C
2246,19889,1932,L6 IT,Excitatory,A1C
2247,24354,1934,L6 IT Car3,Excitatory,A1C
2249,13172,1930,Micro/PVM,Non-neuronal,A1C
2250,18121,1935,L2/3 IT,Excitatory,A1C
2252,18169,1938,L6 IT,Excitatory,A1C
2254,24682,1938,L6 CT,Excitatory,A1C
2257,24254,1938,L5/6 NP,Excitatory,A1C
2260,23037,1940,L5 IT,Excitatory,A1C
2262,26848,1940,L6 IT Car3,Excitatory,A1C
2263,13962,1942,Oligo,Non-neuronal,A1C
2264,22168,1943,Oligo,Non-neuronal,A1C
2265,22452,1943,L5/6 NP,Excitatory,A1C
2268,21969,1944,Oligo,Non-neuronal,A1C
2270,26239,1945,OPC,Non-neuronal,A1C
2272,15253,1948,Oligo,Non-neuronal,A1C
2275,22962,1958,L6 IT,Excitatory,A1C
2276,23220,1953,L4 IT,Excitatory,A1C
2278,22999,1956,OPC,Non-neuronal,A1C
2279,25937,1954,L6 IT,Excitatory,A1C
2280,13178,1958,Endo,Non-neuronal,A1C
2283,20670,1957,Astro,Non-neuronal,A1C
2284,24982,1957,Oligo,Non-neuronal,A1C
2292,18751,1960,Micro/PVM,Non-neuronal,A1C
2293,24884,1960,L4 IT,Excitatory,A1C
2295,19710,1962,Astro,Non-neuronal,A1C
2296,16007,1964,Oligo,Non-neuronal,A1C
2300,14193,1965,Micro/PVM,Non-neuronal,A1C
2301,15460,1963,Oligo,Non-neuronal,A1C
2302,22908,1965,L5 IT,Excitatory,A1C
2303,23821,1966,L2/3 IT,Excitatory,A1C
2304,24220,1965,Astro,Non-neuronal,A1C
2305,26344,1965,LAMP5,Inhibitory,A1C
2309,25166,1968,VLMC,Non-neuronal,A1C
2310,25567,1968,Oligo,Non-neuronal,A1C
2311,26085,1972,Oligo,Non-neuronal,A1C
2314,12947,1970,Oligo,Non-neuronal,A1C
2315,20867,1968,L5 IT,Excitatory,A1C
2316,22862,1969,Astro,Non-neuronal,A1C
2317,26811,1970,PVALB,Inhibitory,A1C
2318,18508,1971,Oligo,Non-neuronal,A1C
2320,21882,1972,Oligo,Non-neuronal,A1C
2321,22605,1972,Endo,Non-neuronal,A1C
